actualTime;quantity
10.0303;1570
10.038;1571
10.0401;1572
10.0419;1573
10.0436;1574
10.045;1575
10.0453;1576
10.0455;1577
10.0541;1578
10.0591;1579
10.0615;1580
10.0622;1581
10.0642;1582
10.0682;1583
10.0689;1584
10.0691;1585
10.0693;1586
10.0709;1587
10.082;1588
10.0889;1589
10.0949;1590
10.1052;1591
10.1064;1592
10.1068;1593
10.1072;1594
10.1094;1595
10.1097;1596
10.1108;1597
10.1109;1598
10.1126;1599
10.1148;1600
10.1182;1601
10.1196;1602
10.1244;1603
10.1277;1604
10.1334;1605
10.1351;1606
10.1361;1607
10.1415;1608
10.1493;1609
10.1542;1610
10.1554;1611
10.1598;1612
10.166;1613
10.169;1614
10.1711;1615
10.1718;1616
10.1734;1617
10.1745;1618
10.1816;1619
10.1836;1620
10.1861;1621
10.1891;1622
10.1929;1623
10.1998;1624
10.202;1625
10.2037;1626
10.207;1627
10.2101;1628
10.2128;1629
10.2166;1630
10.2189;1631
10.2198;1632
10.22;1633
10.223;1634
10.2237;1635
10.2256;1636
10.23;1637
10.2313;1638
10.2319;1639
10.2323;1640
10.2328;1641
10.2335;1642
10.2407;1643
10.2464;1644
10.2507;1645
10.2515;1646
10.2543;1647
10.2554;1648
10.2596;1649
10.2606;1650
10.2669;1651
10.2705;1652
10.2727;1653
10.2729;1654
10.2761;1655
10.2764;1656
10.2792;1657
10.286;1658
10.2875;1659
10.2879;1660
10.2946;1661
10.2958;1662
10.3072;1663
10.3119;1664
10.3141;1665
10.3146;1666
10.322;1667
10.323;1668
10.3237;1669
10.3271;1670
10.3296;1671
10.3301;1672
10.3318;1673
10.3325;1674
10.3372;1675
10.3424;1676
10.3453;1677
10.3457;1678
10.3464;1679
10.3466;1680
10.3467;1681
10.3482;1682
10.3491;1683
10.3538;1684
10.3568;1685
10.358;1686
10.372;1687
10.375;1688
10.3766;1689
10.3768;1690
10.3789;1691
10.3799;1692
10.385;1693
10.3857;1694
10.3895;1695
10.3907;1696
10.392;1697
10.3994;1698
10.4016;1699
10.4052;1700
10.4059;1701
